id,filename,latitude,longitude,timestamp,label,device,notes
1,IMG_4821.jpg,33.4484,-112.0740,2024-11-04 06:47:12,Suspect Residence - Morning Departure,iPhone 13 Pro,Subject leaves apartment on W McDowell Rd
2,IMG_4822.jpg,33.4471,-112.0701,2024-11-04 07:03:45,Circle K Gas Station,iPhone 13 Pro,Stopped 18 min - possible meeting or refuel
3,IMG_4823.jpg,33.4389,-112.0631,2024-11-04 07:31:08,I-10 Eastbound On-Ramp,iPhone 13 Pro,Entered highway heading east
4,IMG_4824.jpg,33.4152,-111.9093,2024-11-04 08:14:55,Chandler - Storage Facility,iPhone 13 Pro,Stayed 41 min - StoreSafe unit #7B
5,IMG_4825.jpg,33.4206,-111.8405,2024-11-04 09:22:30,Mesa Industrial District,iPhone 13 Pro,Photographed loading dock area
6,IMG_4826.jpg,33.3942,-111.8448,2024-11-04 10:05:17,Unknown Warehouse - E Baseline Rd,iPhone 13 Pro,No public record of business at this address
7,IMG_4827.jpg,33.3978,-111.8301,2024-11-04 10:48:44,Restaurant Parking Lot - Denny's,iPhone 13 Pro,Lunch break - met unidentified male (gray sedan)
8,IMG_4828.jpg,33.3965,-111.8289,2024-11-04 11:02:19,Same Parking Lot - Different Angle,iPhone 13 Pro,Second photo taken 14 min later - gray sedan still present
9,IMG_4829.jpg,33.4523,-111.9825,2024-11-04 12:44:01,Tempe Marketplace,iPhone 13 Pro,Entered shopping center - 22 min visit
10,IMG_4830.jpg,33.4499,-111.9701,2024-11-04 13:19:38,Tempe Post Office - Rural Rd,iPhone 13 Pro,Shipped 2 packages - destination unknown
11,IMG_4831.jpg,33.4592,-111.9402,2024-11-04 14:05:52,Bank - Chase Branch Tempe,iPhone 13 Pro,ATM withdrawal only - $900 cash
12,IMG_4832.jpg,33.5092,-112.0740,2024-11-04 15:31:27,North Phoenix - Unfamiliar Address,iPhone 13 Pro,Residential neighborhood - not suspect home address
13,IMG_4833.jpg,33.5101,-112.0755,2024-11-04 15:44:10,Same Residential Block,iPhone 13 Pro,Walked around block - behavior appears surveillance-like
14,IMG_4834.jpg,33.5088,-112.0748,2024-11-04 16:02:33,Alley Behind Residence - N 7th Ave,iPhone 13 Pro,Photographed rear entry of property
15,IMG_4835.jpg,33.4881,-112.0740,2024-11-04 17:15:09,Walgreens - Camelback Rd,iPhone 13 Pro,Purchased prepaid phone and burner SIM
16,IMG_4836.jpg,33.4484,-112.0736,2024-11-04 18:58:44,Suspect Residence - Return,iPhone 13 Pro,Returned home after 12h 11m away
